Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Méier;2;0;0;59;1100.0;681.0;
Apartamento;Vila da Penha;2;0;0;50;900.0;200.0;
Apartamento;Campo Grande;3;1;0;65;700.0;330.0;
Apartamento;Campo Grande;2;1;0;55;700.0;;2.0
Apartamento;Bonsucesso;2;0;0;100;900.0;484.0;
Apartamento;São Cristóvão;2;1;0;65;1100.0;379.0;
Apartamento;Pechincha;3;1;0;86;1000.0;670.0;84.0
Apartamento;São Cristóvão;2;1;0;53;900.0;689.0;
Apartamento;Freguesia (Jacarepaguá);2;0;0;60;900.0;315.0;
Apartamento;Vila da Penha;2;1;0;65;900.0;190.0;
Apartamento;Jacarepaguá;2;1;0;44;700.0;272.0;13.0
Apartamento;Camorim;2;1;1;50;1100.0;450.0;
Apartamento;Cascadura;2;0;0;70;700.0;310.0;
Apartamento;Vila Isabel;2;0;0;71;1100.0;525.0;21.0
Apartamento;Taquara;2;1;0;80;800.0;450.0;50.0
Apartamento;Vila da Penha;2;0;0;49;1000.0;285.0;
Apartamento;Jacarepaguá;2;1;0;47;1000.0;380.0;481.0
Apartamento;Méier;2;1;0;52;1000.0;300.0;
Apartamento;Engenho de Dentro;2;0;0;90;1100.0;320.0;13.0
Apartamento;Camorim;3;1;0;58;1000.0;402.0;34.0
Apartamento;Penha;2;1;0;60;750.0;280.0;
